targetCohortDefinitionId,timeAtRiskId,outcomeCohortDefinitionId,subgroupCohortDefinitionId,random.te,random.te.lower,random.te.upper,seTE.random,tau2,se.tau2,tau,lower.predict,upper.predict,seTE.predict
104,5,303,21,-7.622910290084889,-7.933953107066527,-7.31186747310325,0.15869823090378402,0.22055097902732246,0.16422283651564057,0.4696285543142819,-8.744301794275017,-6.50151878589476,0.49571777002576095
104,5,303,22,-7.208616105028068,-7.485858802816212,-6.931373407239924,0.14145295524560597,0.18962311311925928,0.1398220001777291,0.43545736085093256,-8.244358174212932,-6.172874035843204,0.45785592894159916
104,5,303,31,-7.608923528002807,-7.904773974168171,-7.313073081837443,0.15094687887073144,0.22805738547465973,0.1720729932965452,0.4775535419978159,-8.741906025388895,-6.475941030616719,0.5008416373620258
104,5,303,32,-7.481471689537582,-7.773815323693324,-7.18912805538184,0.14915765619251756,0.22899635679456667,0.1710203692071202,0.47853563795663817,-8.615361721928728,-6.347581657146434,0.501242818597346
104,5,303,41,-7.860604517497365,-8.097779129139738,-7.623429905854993,0.1210096785008173,0.14353963142638715,0.11363356578131095,0.3788662447703505,-8.760314713107986,-6.960894321886745,0.39772223186195954
104,5,303,42,-8.13774453964068,-8.340958417139142,-7.934530662142219,0.1036824549335531,0.103062185409281,0.08127049203539913,0.3210329973838842,-8.900907446714125,-7.374581632567234,0.3373606925389045
104,5,303,51,-7.975699105744129,-8.22560876904591,-7.7257894424423466,0.12750727323207856,0.17043275204710912,0.13422556192856183,0.4128350179516136,-8.953126031308853,-6.998272180179405,0.4320773735966616
104,5,303,52,-8.342782934648548,-8.55235617772513,-8.133209691571967,0.10692708882901343,0.1115521623816222,0.08828857964917561,0.3339942550129002,-9.136105566414862,-7.549460302882235,0.35069297784111664
104,5,303,61,-7.957478202593487,-8.189601229367009,-7.725355175819966,0.11843229192193222,0.13998202177040164,0.1100494399413494,0.3741417134862159,-8.845236496261329,-7.069719908925645,0.3924388226721248
104,5,303,62,-8.305313406052582,-8.51580697120568,-8.094819840899483,0.10739664953715716,0.10491075631446042,0.08344500405559692,0.3238992996510805,-9.077252112001348,-7.533374700103814,0.34124008651720183
104,5,303,71,-8.155271878331368,-8.402693956851003,-7.907849799811733,0.12623807400098602,0.17475344825255082,0.13978494353727428,0.4180352236983755,-9.12825574912042,-7.182288007542314,0.43668008837137195
104,5,303,72,-8.315638956014064,-8.578529287212014,-8.052748624816115,0.1341301846725727,0.18946206983048886,0.14646542704173418,0.4352724087631662,-9.330489494363949,-7.300788417664179,0.45547006078422686
104,5,303,81,-8.38312870034179,-8.695633993717168,-8.07062340696641,0.15944440604030546,0.23484973866675674,0.18256950952198456,0.48461297822773663,-9.537210822538844,-7.229046578144733,0.5101688517386205
104,5,303,82,-8.620106591333693,-8.898737774442425,-8.34147540822496,0.14216137914091292,0.17642663158832123,0.14601511591445,0.42003170307528126,-9.623231073879184,-7.616982108788202,0.4434371311782174
104,5,303,91,-8.988313992446288,-9.311521020576151,-8.665106964316426,0.1649045751244813,0.19755199608280252,0.16657011093797625,0.44446821717958923,-10.06074235432963,-7.915885630562946,0.4740733223666865
104,5,303,92,-9.18038960470969,-9.68347210163473,-8.677307107784651,0.25667945987441115,0.42713916537833674,0.3706142414824131,0.6535588461480242,-10.768777573994708,-7.592001635424672,0.7021563291032533
104,5,305,21,-11.24365784022743,-11.844354358415528,-10.642961322039332,0.30648344710735315,0.4250192854480425,0.3735826237642878,0.6519350316159138,-13.095460798923288,-9.391854881531572,0.7203828071233018
104,5,305,22,-10.977454862872197,-11.684990075615705,-10.269919650128688,0.3609939867897855,0.7225941234243374,0.5398503628307422,0.8500553649170961,-13.351468649108794,-8.6034410766356,0.923531689723055
104,5,305,31,-11.697726972654648,-11.989542836083247,-11.405911109226048,0.14888838046535877,0.07284668991186374,0.08594149092812059,0.2699012595596096,-12.490093717787195,-10.9053602275221,0.3082441236251896
104,5,305,32,-11.411527551344873,-11.757871088219522,-11.065184014470224,0.17670913323232623,0.1481049340250243,0.12519687154337492,0.38484403857280197,-12.50010462185757,-10.322950480832176,0.4234749718610822
104,5,305,41,-10.506757804667608,-10.72384840874565,-10.289667200589566,0.11076254757251877,0.05667066170485468,0.04889254002575127,0.23805600539548394,-11.181695890681691,-9.831819718653524,0.26256238049196834
104,5,305,42,-10.660027150560499,-10.839783073066,-10.480271228054997,0.09171389062421213,0.032093284044669206,0.033077025397657334,0.17914598528761175,-11.177376921440768,-10.14267737968023,0.20125784898507473
104,5,305,51,-10.384181097677349,-10.75055425292685,-10.017807942427847,0.18692851406424144,0.21178588129595768,0.16462972713910376,0.4602020005345019,-11.661033759399075,-9.107328435955623,0.4967173750395923
104,5,305,52,-10.121558139704456,-10.276531428360915,-9.966584851047998,0.07906945733639399,0.029645775495916928,0.025176174451656437,0.17217948628079052,-10.608598639520809,-9.634517639888104,0.18946702768394494
104,5,305,61,-9.977097006880545,-10.372342604825066,-9.581851408936023,0.20165962286152597,0.2464658132781695,0.19381093598376203,0.4964532337271754,-11.354536553662017,-8.599657460099072,0.5358473819762698
104,5,305,62,-9.54669587181868,-9.747431167247157,-9.345960576390201,0.10241784900735522,0.05657515121429485,0.046639408308615064,0.23785531571586718,-10.212395013321792,-8.880996730315566,0.2589682741371774
104,5,305,71,-9.675325515305966,-9.995375750710702,-9.35527527990123,0.1632939369953998,0.16870034604422354,0.145226523752542,0.41073147681206945,-10.756864029847634,-8.593787000764298,0.4420014207032384
104,5,305,72,-9.386136355802641,-9.704896334623966,-9.067376376981317,0.16263563072365747,0.1733235373637636,0.1505078966942624,0.41632143514808795,-10.479809839995042,-8.29246287161024,0.4469607205836386
104,5,305,81,-9.676442227303678,-9.976891780537668,-9.375992674069687,0.1532934051869826,0.10158275284701943,0.10408905356064452,0.3187204932962727,-10.585576823421878,-8.767307631185478,0.35366880116973826
104,5,305,82,-9.072649773850685,-9.460110929708259,-8.685188617993111,0.19768789575411522,0.19532195676580139,0.17832932761505002,0.4419524372212483,-10.317200257178683,-7.828099290522686,0.4841512789340655
104,5,305,91,-9.60047476975707,-9.979651412125403,-9.221298127388739,0.19346102548783015,0.14950808843094648,0.14921161181699472,0.3866627580087672,-10.800898855466476,-8.400050684047665,0.4323601008577796
104,5,305,92,-8.995737373676837,-9.512742591056455,-8.47873215629722,0.26378301920733677,0.3054375500053075,0.2956520672685394,0.5526640480484573,-10.695998967767196,-7.295475779586479,0.6123879744307898
104,5,307,21,-8.77665745040903,-8.954714237606034,-8.598600663212025,0.09084696892468078,0.0541764681892989,0.04200786529728752,0.23275839015876293,-9.33337853119933,-8.219936369618729,0.24985924027760273
104,5,307,22,-8.790901489953209,-8.941558567815665,-8.640244412090752,0.07686726850637045,0.03478955933515979,0.02831122113123553,0.18651959504341573,-9.240401299912634,-8.341401679993783,0.20173779096339448
104,5,307,31,-8.300512655522374,-8.492470424562455,-8.108554886482292,0.09793943692548412,0.0966793173170363,0.06728117636519543,0.31093297881864557,-9.026870374101724,-7.574154936943023,0.3259930223521927
104,5,307,32,-8.462413489969665,-8.597118843362026,-8.327708136577304,0.0687284840205734,0.04317777106801783,0.029747922239970928,0.20779261552812175,-8.950072490349775,-7.974754489589553,0.21886382886119862
104,5,307,41,-7.7261796463524695,-7.890676048447043,-7.561683244257896,0.08392827796434028,0.07589736794682676,0.05339006229564175,0.27549476936382433,-8.36787328326261,-7.08448600944233,0.28799535376267155
104,5,307,42,-7.759584452166837,-7.866580335463235,-7.6525885688704385,0.05459073949336217,0.02941984759604703,0.019610437854600513,0.17152214899553653,-8.160649423456379,-7.358519480877296,0.17999999009577516
104,5,307,51,-7.4099820598759845,-7.61800888100936,-7.201955238742609,0.10613808354350614,0.12931230329845897,0.09051048043092114,0.35960019924696784,-8.245393287469728,-6.57457083228224,0.3749367894415634
104,5,307,52,-7.292049533384626,-7.445541850960708,-7.138557215808544,0.07831384596186938,0.06905715987358428,0.047389752229658695,0.26278729016751223,-7.9030238080369966,-6.681075258732255,0.2742083484194522
104,5,307,61,-7.184036427314555,-7.404849832103184,-6.963223022525926,0.11266197059250956,0.14453117185099623,0.10439630136882765,0.38017255536268824,-8.067526191242775,-6.300546663386335,0.39651468001674756
104,5,307,62,-7.0543213250130306,-7.2286055674819245,-6.880037082544137,0.08892216583754896,0.08833610313256003,0.06277119343633078,0.2972139013110928,-7.745559002225326,-6.363083647800735,0.3102309699398185
104,5,307,71,-7.063482387143066,-7.329321016884272,-6.797643757401859,0.1356344462643738,0.22975219653628434,0.17754214417039416,0.47932472973578605,-8.159893152680665,-5.9670716216054664,0.4981454602319764
104,5,307,72,-6.972526588111942,-7.213339749247419,-6.731713426976464,0.12286611541588585,0.18613842316928597,0.13575613347333465,0.43143762372941696,-7.959870243562636,-5.985182932661247,0.44859169128136533
104,5,307,81,-6.895499736641497,-7.193779395031657,-6.597220078251337,0.1521862956375484,0.258225950750755,0.1951940040562506,0.5081593753447387,-8.077435768065353,-5.7135637052176405,0.5304588761917688
104,5,307,82,-6.986117987206746,-7.280307419916462,-6.6919285544970295,0.1500994074535273,0.24195983411729988,0.1852717277387618,0.4918941289721802,-8.132017687302568,-5.8402182871109245,0.5142855882048416
104,5,307,91,-6.994467571879512,-7.284326823690592,-6.704608320068432,0.14789009088812521,0.21195018878527525,0.16117577296862004,0.46038048262852677,-8.088336159731458,-5.900598984027566,0.48355110150652453
104,5,307,92,-6.908199612581109,-7.199303282632278,-6.61709594252994,0.14852500982026076,0.20322082277653716,0.15798702544799267,0.45080020272459637,-7.981903625055447,-5.834495600106771,0.47463723128158175
104,5,308,21,-9.85332290487099,-10.195250661485987,-9.51139514825599,0.17445614272103047,0.13895566691161146,0.11690004549888336,0.37276757760246726,-10.91129960609133,-8.795346203650649,0.41157090840426513
104,5,308,22,-9.858243341954077,-10.127472809104914,-9.589013874803241,0.13736449714101073,0.07814789200437457,0.07356906569235576,0.27954944465044923,-10.658916233031453,-9.057570450876701,0.3114753554924969
104,5,308,31,-9.908535597427932,-10.244472561427767,-9.572598633428097,0.17139955971112866,0.1749527957178631,0.13384958417816242,0.41827358955337246,-11.070514237086844,-8.74655695776902,0.45202942911610505
104,5,308,32,-9.864990850733369,-10.161152129813226,-9.568829571653511,0.1511054700065612,0.13577770748874954,0.10284134618132706,0.368480267434702,-10.888749297585962,-8.841232403880776,0.3982594261968614
104,5,308,41,-9.822717340157961,-10.173804020317082,-9.47163065999884,0.1791291487641855,0.2075419620437426,0.1554749769141075,0.4555677359556344,-11.081066941858085,-8.564367738457838,0.48951937038356746
104,5,308,42,-9.835298946526924,-10.166882491499752,-9.503715401554096,0.16917838673991825,0.17951950937865163,0.13268266554440827,0.4236974266840095,-11.008061476165986,-8.662536416887862,0.45622454550207286
104,5,308,51,-9.721413589096613,-10.262193584466333,-9.180633593726894,0.27591323087328323,0.5198510653067565,0.38296552055985256,0.7210069800679856,-11.705894735250567,-7.736932442942659,0.771996875821198
104,5,308,52,-9.5318143718082,-10.082177093468404,-8.981451650147994,0.2808024667807145,0.5400134609093492,0.37982976657064255,0.7348560817665927,-11.554036526965401,-7.509592216650998,0.7866787694221089
104,5,308,61,-9.306254949209453,-9.829250886769765,-8.783259011649141,0.26683956526019686,0.4765597302680259,0.3658912426040521,0.6903330574932841,-11.208768743519972,-7.403741154898935,0.7401101835917925
104,5,308,62,-9.022259808402005,-9.452063229645084,-8.592456387158926,0.21929148935047466,0.3221974444017654,0.2382652055963214,0.5676243867222104,-10.586488324291622,-7.458031292512388,0.6085114639045962
104,5,308,71,-9.090556334665827,-9.557778186544114,-8.62333448278754,0.2383828761975601,0.4241248178781479,0.3545580607129826,0.6512486605576613,-10.78750551662582,-7.393607152705833,0.6935064625094485
