en,ca
Language,Idioma
Age:,Edat:
Sex,Sexe:
Male,Masculí
Female,Femení
History of Cancer,Història de Cànc
History of COPD,Història de Malaltia pulmonar obstructiva crònica (MPO
History of Diabetes,Història de Diabeti
History of Heart disease,Història de Malaltia cardía
History of Hyperlipidemia,Història de Hiperlipidèm
History of Hypertension,Història d'Hipertensi
History of Kidney Disease,Història de Malaltia rena
Calculate Risk,Calcular el risc
Predicted Risk (%),Risc previst (%)
Use this tool to calculate the risk of COVID outcomes: ,Utilitza aquesta eina per calcular el risc de complicacions COVID:
