"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19"," 0.3"," 0.3"," 0.00"," 0.3"," 0.3","0.00"
"    20-24"," 1.2"," 1.2"," 0.00"," 1.0"," 1.0","0.00"
"    25-29"," 1.9"," 1.8"," 0.00"," 1.8"," 1.8","0.00"
"    30-34"," 2.9"," 2.9"," 0.00"," 3.0"," 2.9","0.00"
"    35-39"," 4.3"," 4.3"," 0.00",NA,NA,NA
"    40-44"," 5.8"," 5.7"," 0.00"," 6.0"," 5.9","0.00"
"    45-49"," 8.2"," 8.1"," 0.00",NA,NA,NA
"    50-54","11.5","11.5"," 0.00","11.5","11.5","0.00"
"    55-59","13.7","13.8"," 0.00","14.0","14.0","0.00"
"    60-64","13.6","13.5"," 0.00","13.9","14.1","0.00"
"    65-69",NA,NA,NA,"12.7","12.7","0.00"
"Gender: female","79.3","79.1"," 0.00","83.5","83.5","0.00"
"Medical history: General","  ","  ","   ","  ","  ","  "
"    Acute respiratory disease","19.9","19.9"," 0.00","33.1","31.5","0.03"
"    Chronic obstructive lung disease"," 7.6"," 7.8"," 0.00"," 9.4"," 9.3","0.00"
"    Depressive disorder"," 9.6"," 9.8","-0.01","11.7","11.5","0.01"
"    Diabetes mellitus","15.7","16.0","-0.01","16.8","16.7","0.00"
"    Hyperlipidemia","26.0","26.4","-0.01","27.1","26.8","0.01"
"    Pneumonia",NA,NA,NA," 6.1"," 5.8","0.01"
"    Renal impairment"," 6.1"," 6.0"," 0.00"," 7.5"," 7.5","0.00"
"    Urinary tract infectious disease",NA,NA,NA,"10.6","10.5","0.00"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","  "
"    Atrial fibrillation"," 3.6"," 3.6"," 0.00"," 4.0"," 4.0","0.00"
"    Cerebrovascular disease"," 3.2"," 3.3"," 0.00"," 3.6"," 3.5","0.00"
"    Coronary arteriosclerosis"," 6.8"," 6.9"," 0.00"," 7.7"," 7.6","0.00"
"    Heart disease","18.1","18.3"," 0.00","20.4","20.3","0.00"
"    Heart failure"," 3.9"," 4.0"," 0.00",NA,NA,NA
"    Ischemic heart disease"," 3.5"," 3.6"," 0.00"," 4.0"," 3.9","0.00"
"Medication use","  ","  ","   ","  ","  ","  "
"    Agents acting on the renin-angiotensin system","31.4","31.4"," 0.00","38.0","37.9","0.00"
"    Antidepressants","34.7","34.8"," 0.00","46.0","45.8","0.00"
"    Drugs for obstructive airway diseases",NA,NA,NA,"45.8","45.5","0.01"
"    Immunosuppressants","44.7","44.7"," 0.00","51.4","51.5","0.00"
"    Opioids","35.4","35.5"," 0.00","43.5","43.2","0.01"
"    Psycholeptics","29.7","29.9"," 0.00","39.3","39.2","0.00"
