"outcomeId","cohortId","modelSettingsId","analysisId","devDatabase","populationSettingId","modelSettingId","covariateSettingId","modelSettingName","addExposureDaysToStart","riskWindowStart","addExposureDaysToEnd","riskWindowEnd","plpDataFolder","studyPopFile","plpResultFolder","cohortName","outcomeName"
16741,17780,1,1,"optumClaims",1,1,1,"Lasso Logistic Regression",0,0,0,30,"D:/covidDeathResults/PlpData_L1_T17780","D:/covidDeathResults/StudyPop_L1_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_1","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,2,2,"optumClaims",1,1,2,"Lasso Logistic Regression",0,0,0,30,"D:/covidDeathResults/PlpData_L2_T17780","D:/covidDeathResults/StudyPop_L2_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_2","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,3,3,"optumClaims",1,2,1,"Random forest",0,0,0,30,"D:/covidDeathResults/PlpData_L1_T17780","D:/covidDeathResults/StudyPop_L1_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_3","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,4,4,"optumClaims",1,2,2,"Random forest",0,0,0,30,"D:/covidDeathResults/PlpData_L2_T17780","D:/covidDeathResults/StudyPop_L2_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_4","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,5,5,"optumClaims",1,3,2,"Gradient boosting machine",0,0,0,30,"D:/covidDeathResults/PlpData_L2_T17780","D:/covidDeathResults/StudyPop_L2_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_5","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,6,6,"optumClaims",1,3,1,"Gradient boosting machine",0,0,0,30,"D:/covidDeathResults/PlpData_L1_T17780","D:/covidDeathResults/StudyPop_L1_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_6","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,7,7,"optumClaims",1,4,2,"AdaBoost",0,0,0,30,"D:/covidDeathResults/PlpData_L2_T17780","D:/covidDeathResults/StudyPop_L2_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_7","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,8,8,"optumClaims",1,4,1,"AdaBoost",0,0,0,30,"D:/covidDeathResults/PlpData_L1_T17780","D:/covidDeathResults/StudyPop_L1_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_8","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,9,9,"optumClaims",1,5,1,"DecisionTree",0,0,0,30,"D:/covidDeathResults/PlpData_L1_T17780","D:/covidDeathResults/StudyPop_L1_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_9","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,10,10,"optumClaims",1,5,2,"DecisionTree",0,0,0,30,"D:/covidDeathResults/PlpData_L2_T17780","D:/covidDeathResults/StudyPop_L2_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_10","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,11,11,"optumClaims",1,6,1,"Neural network",0,0,0,30,"D:/covidDeathResults/PlpData_L1_T17780","D:/covidDeathResults/StudyPop_L1_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_11","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,12,12,"optumClaims",1,6,2,"Neural network",0,0,0,30,"D:/covidDeathResults/PlpData_L2_T17780","D:/covidDeathResults/StudyPop_L2_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_12","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,14,14,"optumClaims Pnemonia",1,6,1,"Lasso Logistic Regression",0,0,0,30,"D:/covidDeathResults/PlpData_L2_T17780","D:/covidDeathResults/StudyPop_L2_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_14","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
16741,17780,15,15,"optumClaims Pnemonia",1,6,2,"Lasso Logistic Regression",0,0,0,30,"D:/covidDeathResults/PlpData_L2_T17780","D:/covidDeathResults/StudyPop_L2_T17780_O16741_P1.rds","D:/covidDeathResults/Analysis_15","[COVID ID134 V1] Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation","[COVID ID164 V1] Death"
