targetName,targetId,cohortId,subgroupId,subgroupName,cohortType
Persons observed in 2017 with 3yr prior observation (Age 0-9),1000,1000,0,All,Target
Persons observed in 2017 with 3yr prior observation (Age 10-19),1001,1001,0,All,Target
Persons observed in 2017 with 3yr prior observation (Age 20-29),1002,1002,0,All,Target
Persons observed in 2017 with 3yr prior observation (Age 30-39),1003,1003,0,All,Target
Persons observed in 2017 with 3yr prior observation (Age 40-49),1004,1004,0,All,Target
Persons observed in 2017 with 3yr prior observation (Age 50-59),1005,1005,0,All,Target
Persons observed in 2017 with 3yr prior observation (Age 60-69),1006,1006,0,All,Target
Persons observed in 2017 with 3yr prior observation (Age 70-79),1007,1007,0,All,Target
"Neck pain cohort: First occurrence of ""neck pain"" concept Without descendants",241340030,241340030,0,All,Target
'Hypoglycemia disorder' incident cohort: First occurrence + descendants with >=365d prior observation,246090030,246090030,0,All,Target
Dysphagia incident cohort: First occurrence of Dysphagia and Difficulty swallowing descendants with >=365d prior observation,313170030,313170030,0,All,Target
"Nausea Events All Events of referent concept ""Nausea + descendants"" with 30 day gap",319670030,319670030,0,All,Target
Constipation Events: all occurrence of referent concept + descendants with 30 days gap,758600030,758600030,0,All,Target
Osteoarthritis incident cohort: First occurrence of 'osteoarthritis' concept with >=365d prior observation,801800030,801800030,0,All,Target
Osteoporosis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,805020010,805020010,0,All,Target
Rheumatoid arthritis at first diagnosis (no history of Rheumatoid arthritis),808090030,808090030,0,All,Target
Ulcerative colitis at first diagnosis with no history of ulcerative colitis,818930030,818930030,0,All,Target
Psoriatic arthritis,819310040,819310040,0,All,Target
Erythema multiforme incident cohort: First occurrence of 'Erythema multiforme or Stevens Johnson Syndrome' concept with >=365d prior observation,1327020030,1327020030,0,All,Target
"Sepsis during hospitalization, defined by condition occurrences of 'sepsis' conceptset occurring between start and end of inpatient visit",1327970030,1327970030,0,All,Target
Thyroiditis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1334440010,1334440010,0,All,Target
Atopic dermatitis and Eczema at first diagnosis,1338340050,1338340050,0,All,Target
Systemic sclerosis or or localized scleroderma at first diagnosis,1344420050,1344420050,0,All,Target
Jaundice referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1379770010,1379770010,0,All,Target
"Chronic lymphoid leukemia, disease referent concept prevalent cohort: First occurrence of updated concept set + descendants (condition and observation domain)",1383790030,1383790030,0,All,Target
Myelodysplastic syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1389940010,1389940010,0,All,Target
"Transverse myelitis events, using diagnosis codes from Marrie MSRD 2018",1398030050,1398030050,0,All,Target
Psoriasis at first diagnosis (no history of Psoriasis),1401680030,1401680030,0,All,Target
"Acute myeloid leukemia, disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation",1403520010,1403520010,0,All,Target
Hypothyroidism referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1406730010,1406730010,0,All,Target
Chilblains referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1414560010,1414560010,0,All,Target
"Gastrointestinal bleeding events, defined by condition occurrences of 'Gastrointestinal hemorrhage GI bleeding' conceptset occurring between start and end of inpatient or ER visit",1926710030,1926710030,0,All,Target
"Primary biliary cirrhosis for first time in patients history, with exclusion of secondary biliary cirrhosis",1926750030,1926750030,0,All,Target
Low back pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1941330010,1941330010,0,All,Target
Celiac disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1949920010,1949920010,0,All,Target
"Acute kidney injury diagnosis during hospitalization, defined by condition occurrences of 'acute renal failure' conceptset occurring between start and end of inpatient visit",1973200040,1973200040,0,All,Target
"Hepatitis C prevalent cohort: First condition occurrence of 'Hepatitis C' conceptset (with Viral Hepatitis Carrier, Cirrhosis of liver due to chronic hepatitis C)",1974940040,1974940040,0,All,Target
