"analysisId","targetId","outcomeId","comparatorId","targetName","comparatorName","nestingId","nestingName","outcomeName","type","targetEffectSize","oldOutcomeId","trueEffectSize","trueEffectSizeFirstExposure","mdrrTarget","mdrrComparator","stratum","logRr","seLogRr","ci95Lb","ci95Ub","method","comparative","nesting","firstExposureOnly","database","calLogRr","calSeLogRr","calCi95Lb","calCi95Ub","calP"
1,708298,4,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.01665490410001,1.03736145782142,"Inflammatory Bowel Disease",5.30164688254903,0.155468083760361,150.21344198895,276.29825576844,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-0.592152197526843,NA,NA,NA,0.00126984718469272
1,708298,10288,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.49539120926857,1.32481820568359,1.01656853240038,1.03717832048161,"Inflammatory Bowel Disease",5.38014096578337,0.133330147443517,169.006349647685,285.026129973219,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-0.583454390036394,NA,NA,NA,0.00101902957518417
1,708298,10289,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99678411807644,1.63317032939317,1.01648558813123,1.03700164432834,"Inflammatory Bowel Disease",6.07383269216197,0.163060892752314,320.868796951333,608.026983355537,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-0.506587486887454,NA,NA,NA,0.000156338663572037
1,708298,10290,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.97280437690973,2.94404609597639,1.01619009517647,1.03637180125174,"Inflammatory Bowel Disease",6.61783266222473,0.154951547471168,560.757139448071,1029.35411330225,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-0.446307694838993,NA,NA,NA,2.93804372967454e-05
1,742185,4,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.08785386878862,1.05175845012798,"Inflammatory Bowel Disease",0.226773319364792,0.153909658137917,0.924668974577587,1.69045090798469,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.3997505279828,NA,NA,NA,0.603542968554059
1,742185,10222,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.4958840734222,1.49189256958124,1.08783821138474,1.05174838992224,"Inflammatory Bowel Disease",0.483689082330985,0.132711110574461,1.24906528874617,2.10142039937317,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.38176496784828,NA,NA,NA,0.716427807327303
1,742185,10223,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.00068142984377,1.98377386083092,1.0878202680947,1.05173717706709,"Inflammatory Bowel Disease",0.915381916829,0.128007684163653,1.94579735960545,3.21379585539567,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.35154402171071,NA,NA,NA,0.920325959365216
1,742185,10224,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.03087460986253,3.57971503717562,1.08774878772612,1.0516918527361,"Inflammatory Bowel Disease",1.61954007606711,0.11219423188481,4.0680140434395,6.31512934569496,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.30224895794754,NA,NA,NA,0.741635835877142
1,915542,10230,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.01839182289112,3.62965909776753,1.07363088465086,1.04102895720102,"Inflammatory Bowel Disease",1.41907791281104,0.0896086673672652,3.47299107990814,4.93462028583739,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.31569258706162,NA,NA,NA,0.839312510069459
1,915542,4,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.07371615870545,1.04105852228168,"Inflammatory Bowel Disease",0.00539084863486908,0.127228459082048,0.780754419449407,1.28560801890425,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.41390196208023,NA,NA,NA,0.5073375095483
1,915542,10228,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50034905135329,1.37536792605685,1.07370137819071,1.04105367795551,"Inflammatory Bowel Disease",0.485432047131016,0.111698216726544,1.30433477747409,2.02089832032385,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.38055331846441,NA,NA,NA,0.711853943320944
1,915542,10229,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99481486035793,1.60490558804338,1.07368560379013,1.04104860672341,"Inflammatory Bowel Disease",0.768540884727262,0.104609252839784,1.75732094243841,2.64812328183167,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.36088564044206,NA,NA,NA,0.844621643600658
1,753626,10264,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50116404096219,1.38207961569627,1.03592553382879,1.01663395961993,"Inflammatory Bowel Disease",6.12186604671625,0.384598105857446,235.148866759823,1061.90066448727,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-0.956046471805379,NA,NA,NA,0.000197329571123235
1,753626,10265,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.00336807995799,1.78284985858017,1.03588003392575,1.01661356961113,"Inflammatory Bowel Disease",6.25057868323649,0.358976389813957,277.986146013371,1135.3915729779,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-0.946531123052537,NA,NA,NA,0.000127225615871823
1,753626,10266,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.99674661634178,3.30088852084551,1.03572021200066,1.01654109867549,"Inflammatory Bowel Disease",6.58560735819819,0.304860524592521,422.66894371435,1396.3549744211,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-0.921763433021084,NA,NA,NA,4.00238624058578e-05
1,753626,4,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.03597174756629,1.01665490410001,"Inflammatory Bowel Disease",5.60142795505497,0.359609989101751,145.021838797255,593.792301661763,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-0.994520937718775,NA,NA,NA,0.000751739907439261
1,1114122,10261,989878,"Nalbuphine","Lidocaine",37522270,"Surgery","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.49574773479101,1.13495934610731,1.104381225677,1.01951153212417,"Inflammatory Bowel Disease",2.75153531304195,0.441343790102936,7.25181957550224,40.9064715898743,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.21863499516536,NA,NA,NA,0.294861074466436
1,1114122,10263,989878,"Nalbuphine","Lidocaine",37522270,"Surgery","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.0135657689888,1.39285915950764,1.10435803393573,1.01950774223332,"Inflammatory Bowel Disease",4.08597631255149,0.521979303742706,25.0503513370359,193.835357272963,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.12508320386583,NA,NA,NA,0.0691217491960189
1,1114122,4,989878,"Nalbuphine","Lidocaine",37522270,"Surgery","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.10438609600888,1.01951224907064,"Inflammatory Bowel Disease",2.37954613413017,0.497629823556099,4.53012340378754,31.8622602190792,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.24471352096309,NA,NA,NA,0.413204937688251
1,1114122,10262,989878,"Nalbuphine","Lidocaine",37522270,"Surgery","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.9982719469601,1.09754918626055,1.10437652158026,1.01951079699765,"Inflammatory Bowel Disease",3.70540875606514,0.61270584719896,15.0804404056439,166.527648722177,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.1517631219985,NA,NA,NA,0.117264677375254
1,916005,10273,913782,"Solifenacin","tolterodine",36718449,"Urinary incontinence","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.49892527895342,1.54073921693193,1.07410388804064,1.0582196467548,"Inflammatory Bowel Disease",0.996691157312182,0.100602359253174,2.22665479899315,3.30307671126914,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.34067835650981,NA,NA,NA,0.962598195577231
1,916005,4,913782,"Solifenacin","tolterodine",36718449,"Urinary incontinence","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.07412828439747,1.05823884471389,"Inflammatory Bowel Disease",0.357579512069152,0.104265306948822,1.16423415302458,1.75203152204028,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.3865530494007,NA,NA,NA,0.662378878069603
1,916005,10274,913782,"Solifenacin","tolterodine",36718449,"Urinary incontinence","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.0023963195357,2.09101390784301,1.07407844161325,1.05819958300505,"Inflammatory Bowel Disease",1.19959261517588,0.0941327109699703,2.76409720077087,3.99765331826609,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.3261143251142,NA,NA,NA,0.938722468671533
1,916005,10275,913782,"Solifenacin","tolterodine",36718449,"Urinary incontinence","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.02373921671079,4.33685704307607,1.07398204513871,1.05812337974727,"Inflammatory Bowel Disease",1.81756735318388,0.0806413128674604,5.26786717085214,7.22634739302021,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.28175681491788,NA,NA,NA,0.64977814949136
1,965748,10271,704599,"Scopolamine","Triazolam",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99792862678582,1.68129084250476,1.03733107293476,1.06464257083213,"Inflammatory Bowel Disease",2.85742789029741,0.120546794478235,13.8522612688021,22.219787907974,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.14970741532682,NA,NA,NA,0.256949009530475
1,965748,4,704599,"Scopolamine","Triazolam",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.03736145782142,1.0646937753461,"Inflammatory Bowel Disease",2.00533356952614,0.118249320741013,5.92227205534061,9.41448055099151,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.21853545120084,NA,NA,NA,0.540240687252334
1,965748,10272,704599,"Scopolamine","Triazolam",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.02433389651367,3.21532255994574,1.03727168386145,1.064542125054,"Inflammatory Bowel Disease",3.50058077579608,0.113862523124437,26.6982912004025,41.7179900733603,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.0977566526043,NA,NA,NA,0.126633969712405
1,965748,10270,704599,"Scopolamine","Triazolam",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50363834363081,1.33791638933271,1.03734566118705,1.06466709354081,"Inflammatory Bowel Disease",2.6076822070476,0.124672708877753,10.7043093264894,17.4502581056512,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.16988065721691,NA,NA,NA,0.326754982730769
1,1524674,NA,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"CCAE",NA,NA,NA,NA,NA
1,1524674,NA,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"CCAE",NA,NA,NA,NA,NA
1,1524674,NA,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"CCAE",NA,NA,NA,NA,NA
1,1524674,4,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.10543911488518,1.06672510626041,"Inflammatory Bowel Disease",0.241162056816889,0.345171444992474,0.636270977360992,2.46185827226077,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.39660686214805,NA,NA,NA,0.616715999717305
1,924566,4,916005,"tamsulosin","Solifenacin",4025202,"Elimination pattern","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.03049573649283,1.07412828439747,"Inflammatory Bowel Disease",0.536546437672341,0.0508277425184989,1.54775360995349,1.88899640483322,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.36319253130415,NA,NA,NA,0.74689616596884
1,924566,10276,916005,"tamsulosin","Solifenacin",4025202,"Elimination pattern","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50240722168954,1.40637049624326,1.03040676733938,1.07407597304021,"Inflammatory Bowel Disease",0.982300409724888,0.0466442743291123,2.43721554667987,2.92618174308618,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.33022412002848,NA,NA,NA,0.95927279634248
1,924566,10278,916005,"tamsulosin","Solifenacin",4025202,"Elimination pattern","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.02198634224946,3.4152369870516,1.02996843669315,1.07380286618211,"Inflammatory Bowel Disease",1.92431355226859,0.0391415463217043,6.34820034173301,7.40091324561376,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.26055188229731,NA,NA,NA,0.600858777834825
1,924566,10277,916005,"tamsulosin","Solifenacin",4025202,"Elimination pattern","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.00548282431079,1.80218101660234,1.03031397662063,1.07402011239028,"Inflammatory Bowel Disease",1.21805951612877,0.0431344971048626,3.10754214256924,3.68001278923817,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.31278713983485,NA,NA,NA,0.926191493614836
1,981709,10235,915542,"dorzolamide","brimonidine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99055618934371,2.00080313816562,1.10070763694167,1.07369887823799,"Inflammatory Bowel Disease",0.6406813923654,0.126201104605012,1.48152422443913,2.42970701192727,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.3656888368736,NA,NA,NA,0.787045886534617
1,981709,10236,915542,"dorzolamide","brimonidine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.99534246406214,4.21560663957224,1.10064740131046,1.07365899812915,"Inflammatory Bowel Disease",1.3328935843928,0.110703450245139,3.05968037347578,4.72213018555184,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.31783725023151,NA,NA,NA,0.878500686597835
1,981709,4,915542,"dorzolamide","brimonidine",35606985,"Glaucoma","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.10073311999978,1.07371615870545,"Inflammatory Bowel Disease",0.13436493870303,0.162671457851264,0.827806935025958,1.5662513283846,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.40068973100665,NA,NA,NA,0.563026680651457
1,981709,10234,915542,"dorzolamide","brimonidine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50043449198713,1.33372357084456,1.10071881985105,1.07370652649238,"Inflammatory Bowel Disease",0.518344456180022,0.143937660838266,1.26499610926153,2.22397093835392,"CaseControl",FALSE,FALSE,FALSE,"CCAE",-1.37414580508197,NA,NA,NA,0.730407403599856
