"analysisId","targetId","outcomeId","comparatorId","targetName","comparatorName","nestingId","nestingName","outcomeName","type","targetEffectSize","oldOutcomeId","trueEffectSize","trueEffectSizeFirstExposure","mdrrTarget","mdrrComparator","stratum","logRr","seLogRr","ci95Lb","ci95Ub","method","comparative","nesting","firstExposureOnly","database","calLogRr","calSeLogRr","calCi95Lb","calCi95Ub","calP"
1,708298,4,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.03003508520961,1.07308445213767,"Inflammatory Bowel Disease",1.83258146374831,0.412078165687317,2.94511599831961,14.8124039083865,"CaseControl",FALSE,FALSE,FALSE,"MDCR",1.58912884168339,NA,1.47545986049234,NA,0.000520555174788913
1,708298,10291,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50185524311177,1.36332673743075,1.02993599450486,1.07285163991333,"Inflammatory Bowel Disease",3.78004884125253,0.21907806493733,29.3280117271728,69.2216257831784,"CaseControl",FALSE,FALSE,FALSE,"MDCR",3.53283576871138,NA,4.3796104249581,NA,4.1585148375609e-30
1,708298,10292,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.00237907192329,1.76263637559323,1.0298410349565,1.07262399561571,"Inflammatory Bowel Disease",4.15888308335926,0.189312030748833,45.1156299669176,94.7572419417647,"CaseControl",FALSE,FALSE,FALSE,"MDCR",3.91090902929162,NA,5.09519423836116,NA,2.41756351718876e-41
1,708298,10293,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.9854930830164,3.25431718863934,1.0294699541981,1.07177115114376,"Inflammatory Bowel Disease",6.20032475724463,0.305097560841708,287.348803219191,950.185550746229,"CaseControl",FALSE,FALSE,FALSE,"MDCR",5.94841717280339,NA,9.64096034970569,NA,1.92129725597253e-56
1,1114122,NA,989878,"Nalbuphine","Lidocaine",37522270,"Surgery","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,1114122,NA,989878,"Nalbuphine","Lidocaine",37522270,"Surgery","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,1114122,NA,989878,"Nalbuphine","Lidocaine",37522270,"Surgery","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,1114122,4,989878,"Nalbuphine","Lidocaine",37522270,"Surgery","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.32172288511424,1.03213623539958,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,1598819,NA,1563600,"Clomiphene","Chorionic Gonadotropin",37119655,"Infertility female","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,1598819,NA,1563600,"Clomiphene","Chorionic Gonadotropin",37119655,"Infertility female","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,1598819,NA,1563600,"Clomiphene","Chorionic Gonadotropin",37119655,"Infertility female","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,1598819,4,1563600,"Clomiphene","Chorionic Gonadotropin",37119655,"Infertility female","Inflammatory Bowel Disease","Exposure control",1,4,1,1,2.74547133663692,2.75881192984775,"Inflammatory Bowel Disease",0.693147180559945,1.64774137711366,0.0791534762043788,50.5347357030681,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.318980763299851,NA,0.0829235756638727,NA,0.78549187899826
1,781182,NA,965748,"ramelteon","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,781182,NA,965748,"ramelteon","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,781182,4,965748,"ramelteon","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.17632601745817,1.07308445213767,"Inflammatory Bowel Disease",0.430782916092454,0.299591502666231,0.84889581098927,2.74713428653867,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.0910682901587256,NA,0.520656383134381,NA,0.625435055942459
1,781182,NA,965748,"ramelteon","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,742185,4,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.60503913943331,1.16772173565972,"Inflammatory Bowel Disease",0.693147180559945,0.546837759866324,0.684795425544192,5.84116051420547,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.321720545894251,NA,0.482307825984432,NA,0.449157104606923
1,742185,NA,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,742185,NA,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,742185,NA,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,915542,10232,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99652414473909,1.85673544151275,1.05604323890022,1.09640256929445,"Inflammatory Bowel Disease",0.632004905275028,0.049341739120567,1.70788550830454,2.07232698602164,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.248151570930211,NA,0.667426074754112,NA,0.169773027922198
1,915542,4,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.05622145245084,1.09663595542565,"Inflammatory Bowel Disease",0.0805262891617575,0.060180784411208,0.962572615651146,1.21866813425569,"CaseControl",FALSE,FALSE,FALSE,"MDCR",-0.2254956509529,NA,0.479418743523727,NA,0.536293923363554
1,915542,10233,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.01764454248897,3.87842403392596,1.05568730113984,1.095912420349,"Inflammatory Bowel Disease",1.33568768525726,0.0434385443491621,3.49360310187534,4.14212762949297,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.852538053248253,NA,0.97747569168052,NA,8.34919876705939e-05
1,915542,10231,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.4968785008804,1.56659238443629,1.05612747949267,1.09651651452356,"Inflammatory Bowel Disease",0.4073047614512,0.0534523267543311,1.35294824302757,1.66831705302241,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.0551566058039041,NA,0.585262373949104,NA,0.576804491569596
1,753626,10267,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50091889969172,1.41742723710912,1.07025345469733,1.03001678206903,"Inflammatory Bowel Disease",5.14749447681354,1.11509414188792,38.3049026146668,3031.05677566432,"CaseControl",FALSE,FALSE,FALSE,"MDCR",4.20212292715729,NA,3.43034154707995,NA,1.77762457542545e-05
1,753626,10268,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99995258223595,1.91319038972458,1.07021045010833,1.02999870688923,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,753626,4,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.07029713942874,1.03003508520961,"Inflammatory Bowel Disease",0.916290731874154,0.695324835518027,0.661552011045403,10.0992038877365,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.532886229146274,NA,0.479320307470438,NA,0.358316971727758
1,753626,10269,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.02304047632359,3.44261891203666,1.07003964022526,1.02992729984885,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"MDCR",NA,NA,NA,NA,NA
1,965748,10273,704599,"Scopolamine","Triazolam",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.4971987260678,1.25792545808505,1.0730571265045,1.13726909475207,"Inflammatory Bowel Disease",1.50048672864554,0.153005798520894,3.34133802286025,6.08692508139766,"CaseControl",FALSE,FALSE,FALSE,"MDCR",1.0522424004613,NA,1.09865888441988,NA,2.62565122360823e-07
1,965748,10274,704599,"Scopolamine","Triazolam",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99510681395904,1.51636775257643,1.07303358662512,1.13722578785965,"Inflammatory Bowel Disease",1.92756101038711,0.153554110282385,5.1291514477118,9.36389454072254,"CaseControl",FALSE,FALSE,FALSE,"MDCR",1.42444474425246,NA,1.34968363092397,NA,9.24966393360494e-12
1,965748,4,704599,"Scopolamine","Triazolam",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.07308445213767,1.13732028121817,"Inflammatory Bowel Disease",0.939547594038425,0.16223626746324,1.86566722861386,3.52391728141385,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.563365610581696,NA,0.813440536608354,NA,0.00397059100601191
1,965748,10275,704599,"Scopolamine","Triazolam",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.98400323297186,2.70299875356188,1.07292957160626,1.13703023018421,"Inflammatory Bowel Disease",2.55870244797811,0.14014662065261,9.90665333910565,17.159830972715,"CaseControl",FALSE,FALSE,FALSE,"MDCR",1.9744944586924,NA,1.7810058287922,NA,8.837379556415e-22
1,916005,10276,913782,"Solifenacin","tolterodine",36718449,"Urinary incontinence","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50130903153362,1.44571746361007,1.07023008702805,1.04920171486002,"Inflammatory Bowel Disease",0.755812377509902,0.0649113493669379,1.87513272713603,2.41845101459171,"CaseControl",FALSE,FALSE,FALSE,"MDCR",0.366595042093505,NA,0.715968062565672,NA,0.063971060887376
