"analysisId","targetId","outcomeId","comparatorId","targetName","comparatorName","nestingId","nestingName","outcomeName","type","targetEffectSize","oldOutcomeId","trueEffectSize","trueEffectSizeFirstExposure","mdrrTarget","mdrrComparator","stratum","logRr","seLogRr","ci95Lb","ci95Ub","method","comparative","nesting","firstExposureOnly","database","calLogRr","calSeLogRr","calCi95Lb","calCi95Ub","calP"
1,708298,4,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.01906914496665,1.05732816341572,"Inflammatory Bowel Disease",5.07065293886904,0.0970244145417649,132.468497352348,193.770327250666,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-0.544958145763218,NA,NA,NA,0.000220347329858836
1,708298,10291,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.49662219424791,1.36515548169586,1.01881097350404,1.05660762299054,"Inflammatory Bowel Disease",5.49069210062379,0.0976305464173512,201.405332820387,295.309561813079,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-0.486345388928157,NA,NA,NA,2.98311250952263e-05
1,708298,10292,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99121819869689,1.71859956941613,1.01856795278635,1.05592032660213,"Inflammatory Bowel Disease",5.78379666626472,0.0980613217352894,269.776075766316,396.226328117206,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-0.44544523437736,NA,NA,NA,6.48749829636225e-06
1,708298,10293,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.99560838855005,3.19056411055988,1.01768529689861,1.05341554153527,"Inflammatory Bowel Disease",6.29727953618148,0.0897381758198874,457.891819252953,650.928717314209,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-0.373793233007646,NA,NA,NA,3.35173210403182e-07
1,1598819,NA,1563600,"Clomiphene","Chorionic Gonadotropin",37119655,"Infertility female","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"PanTher",NA,NA,NA,NA,NA
1,1598819,NA,1563600,"Clomiphene","Chorionic Gonadotropin",37119655,"Infertility female","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"PanTher",NA,NA,NA,NA,NA
1,1598819,4,1563600,"Clomiphene","Chorionic Gonadotropin",37119655,"Infertility female","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.20693740171417,1.36533756842955,"Inflammatory Bowel Disease",1.50407739677627,0.431387524447742,2.02138436109649,10.9659018500478,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.18197980366492,NA,NA,NA,0.67543802564902
1,1598819,NA,1563600,"Clomiphene","Chorionic Gonadotropin",37119655,"Infertility female","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseControl",FALSE,FALSE,FALSE,"PanTher",NA,NA,NA,NA,NA
1,742185,4,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.18557183345569,1.09535843986084,"Inflammatory Bowel Disease",1.27417706299918,0.21827623058229,2.35111131626254,5.53181083291784,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.20735358081149,NA,NA,NA,0.508155182298893
1,742185,10225,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.49169599588438,1.39304403104414,1.18551495654167,1.09532704943595,"Inflammatory Bowel Disease",2.03498977910901,0.235334078511618,4.92538690613658,12.3900715147211,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.12182019622216,NA,NA,NA,0.97765970656875
1,742185,10226,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.00038228750395,2.00058146697059,1.18545244042356,1.09529298488013,"Inflammatory Bowel Disease",2.06263442336342,0.205239451719967,5.34603230817229,11.9517597659346,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.11871228288319,NA,NA,NA,0.957510761403613
1,742185,10227,705944,"atomoxetine","Methylphenidate",36918919,"Atypical attention deficit syndrome","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.01974734034239,3.394360064986,1.1852241769132,1.0951689373127,"Inflammatory Bowel Disease",2.94233149682685,0.211229427759707,12.821878230741,29.3460246389762,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.01981347833723,NA,NA,NA,0.394319266898758
1,915542,10233,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.0143691432058,2.79528805954238,1.09786748711535,1.04071736360089,"Inflammatory Bowel Disease",2.83776664827033,0.0953108453724651,14.2335204127303,20.6809176772366,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.01747207896474,NA,NA,NA,0.436904085969909
1,915542,4,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.09845626216735,1.04082052351239,"Inflammatory Bowel Disease",1.69714349285319,0.119414461982992,4.33784678645521,6.92732809296209,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.14874062218398,NA,NA,NA,0.791168190008918
1,915542,10231,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50039305590855,1.3287177822157,1.09835335465801,1.04080334198764,"Inflammatory Bowel Disease",1.91336660132277,0.105771751884955,5.52868544602993,8.36927885623054,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.12385659951239,NA,NA,NA,0.946081858042278
1,915542,10232,717136,"brimonidine","Neostigmine",35606985,"Glaucoma","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.9934073476396,1.65770774511005,1.09826822082599,1.0407861839689,"Inflammatory Bowel Disease",2.47347795396441,0.11540820330603,9.5198738890467,14.9658875175992,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-1.05939622015515,NA,NA,NA,0.657330501555697
1,753626,10267,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50383047837111,1.38066413681113,1.02324157262717,1.01898046880367,"Inflammatory Bowel Disease",5.53234623021453,0.16785492256108,185.138390745899,357.481212820892,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-0.662488474949384,NA,NA,NA,5.02245785093114e-05
1,753626,10268,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99964469300516,1.7835335495434,1.02313847770035,1.01889538021942,"Inflammatory Bowel Disease",5.65997985198764,0.155239766894477,215.050754851903,395.204271200744,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-0.647271889998237,NA,NA,NA,2.60545403843259e-05
1,753626,10269,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.97180214681051,3.22530445085776,1.02274296256233,1.01856872333703,"Inflammatory Bowel Disease",6.7387448268749,0.189934091378661,595.470009087976,1253.73074600235,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-0.518660645917876,NA,NA,NA,8.46551231405554e-08
1,753626,4,708298,"Propofol","Midazolam",37522270,"Surgery","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.02334931360829,1.01906914496665,"Inflammatory Bowel Disease",4.97303487339121,0.155822554951532,108.073036805758,199.062820666149,"CaseControl",FALSE,FALSE,FALSE,"PanTher",-0.729170033123651,NA,NA,NA,0.000566690655861799
