"analysisId","targetId","outcomeId","comparatorId","targetName","comparatorName","nestingId","nestingName","outcomeName","type","targetEffectSize","oldOutcomeId","trueEffectSize","trueEffectSizeFirstExposure","mdrrTarget","mdrrComparator","stratum","logRr","seLogRr","ci95Lb","ci95Ub","method","comparative","nesting","firstExposureOnly","database","calLogRr","calSeLogRr","calCi95Lb","calCi95Ub","calP"
1,708298,4,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.11914050379823,1.06286689117483,"Inflammatory Bowel Disease",5.48893771829318,1.0020639817766,33.9513427423145,1724.93911429233,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",2.52472655928668,NA,1.37697247417758,NA,0.0898932177337626
1,708298,10291,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.49941761757709,1.40534530152218,1.1185127963958,1.06260725651248,"Inflammatory Bowel Disease",5.86363050779291,1.00141911464837,49.4461950471937,2505.83152848027,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",2.94524712617778,NA,2.09540106902176,NA,0.0525698486001939
1,996416,NA,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease","Exposure control",1,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",NA,NA,NA,NA,NA
1,996416,NA,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",NA,NA,NA,NA,NA
1,708298,10292,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99829032152405,1.80777247205404,1.11787713447728,1.06237029047362,"Inflammatory Bowel Disease",6.12686918408165,1.00109110778242,64.3776592961084,3258.33530264792,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",3.2407006986298,NA,2.80405389324689,NA,0.034965628922753
1,708298,10293,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.01281848852614,3.24110944430122,1.11563497455768,1.06144505400284,"Inflammatory Bowel Disease",6.78219176950205,1.00056658982212,124.103673055219,6268.33626347356,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",3.97614746839045,NA,5.45234526995897,NA,0.0113203504819077
1,1347384,NA,1334456,"irbesartan","Ramipril",37622529,"Hypertension","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",NA,NA,NA,NA,NA
1,1102527,4,965748,"Meperidine","Scopolamine",36803580,"Delivery","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.14926556043965,1.06286689117483,"Inflammatory Bowel Disease",3.77440141166253,0.382277126242474,20.5971354873359,92.171485166133,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",0.600492767162802,0.460512981435549,0.786147931980821,4.78060649578885,0.462497826202673
1,1524674,4,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease","Exposure control",1,4,1,1,2.19644572007232,2.62023584253087,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",NA,NA,NA,NA,NA
1,1102527,10261,965748,"Meperidine","Scopolamine",36803580,"Delivery","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.4981016678304,1.35973355704698,1.14810420303224,1.06251237778944,"Inflammatory Bowel Disease",4.16777203072383,0.380879944641621,30.6079891064539,136.221604523285,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",1.04197845482355,NA,1.22520959259413,NA,0.292766977000325
1,1524674,NA,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",NA,NA,NA,NA,NA
1,1524674,NA,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",NA,NA,NA,NA,NA
1,1524674,NA,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",NA,NA,NA,NA,NA
1,1102527,10262,965748,"Meperidine","Scopolamine",36803580,"Delivery","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.00160260804598,1.82400771663333,1.14703872578862,1.06217097651765,"Inflammatory Bowel Disease",4.44096916659227,0.380185012876858,40.2785969125841,178.773224300808,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",1.34860759447542,NA,1.66392835578082,NA,0.20319542689135
1,1102527,10263,965748,"Meperidine","Scopolamine",36803580,"Delivery","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.01394973757107,3.38687398985985,1.14270434711704,1.0608529024711,"Inflammatory Bowel Disease",5.11713801430718,0.379095380131515,79.3703380725603,350.777214726822,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",2.10745540481443,NA,3.43304720720525,NA,0.0690474897246078
1,781182,4,965748,"ramelteon","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.32939949271879,1.06286689117483,"Inflammatory Bowel Disease",1.3862943609146,1.11803398868104,0.447082565832043,35.7875730708796,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",-2.07969420248846,1.2549480384818,0.0106839725864616,1.46271656266816,0.36394317148074
1,1550023,4,1502905,"Insulin Lispro","Insulin Glargine",35506622,"Type 2 diabetes mellitus","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.46629427723429,1.39109361975637,"Inflammatory Bowel Disease",-1.37671311438202e-16,1.4142135623731,0.0625488361661124,15.9875077026897,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",-3.6355407338525,1.58718583320997,0.00117515269544852,0.591731054870473,0.120233200918763
1,1386957,NA,1313200,"Labetalol","Nadolol",37622529,"Hypertension","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,NA,NA,NA,NA,"Inflammatory Bowel Disease",NA,NA,NA,NA,"CaseCrossover",FALSE,FALSE,FALSE,"JMDC",NA,NA,NA,NA,NA
