"analysisId","targetId","outcomeId","comparatorId","targetName","comparatorName","nestingId","nestingName","outcomeName","type","targetEffectSize","oldOutcomeId","trueEffectSize","trueEffectSizeFirstExposure","mdrrTarget","mdrrComparator","stratum","logRr","seLogRr","ci95Lb","ci95Ub","method","comparative","nesting","firstExposureOnly","database","calLogRr","calSeLogRr","calCi95Lb","calCi95Ub","calP"
1,708298,4,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.03003508520961,1.07308445213767,"Inflammatory Bowel Disease",3.79752972626508,0.215578062444027,29.2244149406368,68.0372238194732,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",3.7681883126031,1.64796444721334,1.98312265841221,1267.21217812822,0.014673938114929
1,708298,10291,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50185524311177,1.36332673743075,1.02993599450486,1.07285163991333,"Inflammatory Bowel Disease",4.17228716406117,0.214837883763343,42.572676440031,98.8260939562482,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",4.19860093241182,1.65789317111709,2.99654261045428,1990.77835039515,0.00652534031672371
1,996416,4,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.05381042134677,1.07342571564623,"Inflammatory Bowel Disease",0.208544722544728,0.162041536111818,0.896684817912657,1.69238757353036,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",-0.353683769220743,1.54621074684043,0.0386118602594743,16.5574965586395,0.811523118942111
1,708298,10292,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.00237907192329,1.76263637559323,1.0298410349565,1.07262399561571,"Inflammatory Bowel Disease",4.43997387505628,0.214454513404329,55.6816557493503,129.062527683325,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",4.50603204793673,1.66505018692345,4.02361532912499,2749.17908545819,0.00350037254755933
1,996416,10246,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.49564383850267,1.52483621589577,1.05348878171016,1.07301240094658,"Inflammatory Bowel Disease",0.502091943776986,0.152527648141686,1.2252479684945,2.22785812261732,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",-0.0165236884732775,1.55237779737418,0.0535109971755508,23.5080062586571,0.985444808592228
1,708298,10293,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.9854930830164,3.25431718863934,1.0294699541981,1.07177115114376,"Inflammatory Bowel Disease",5.09681299031935,0.213851712422545,107.519404250975,248.62721464342,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",5.26039491773529,1.68281325157797,8.28970116248805,6072.46958456005,0.000648869467158306
1,996416,10248,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.9842199581048,3.96170900924522,1.05198756943349,1.07107248189571,"Inflammatory Bowel Disease",1.26715170592782,0.136287880150969,2.71836981877021,4.63794343399687,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",0.862122923883928,1.56999152681192,0.124884545770359,58.7850808011897,0.577552307443193
1,1347384,10254,1334456,"irbesartan","Ramipril",37622529,"Hypertension","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.01075366757067,3.90313657819571,1.06248373881641,1.05271083616888,"Inflammatory Bowel Disease",0.809219332419304,0.149110463373903,1.67693579166175,3.00858681053304,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",0.336204355405036,1.55977397929305,0.0751482518130421,33.9846591453353,0.831767648819244
1,1102527,4,965748,"Meperidine","Scopolamine",36803580,"Delivery","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.06754905260311,1.07308445213767,"Inflammatory Bowel Disease",4.4582157683017,0.58068436834137,27.6629872678889,269.437436447466,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",4.52696545910189,1.77757384487692,3.29604977006414,3500.58768615575,0.00650237938501574
1,1524674,4,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.09599637551975,1.07053579218925,"Inflammatory Bowel Disease",0.628608658892204,0.437797517850136,0.79496379311612,4.42237121579034,"CaseCrossover",FALSE,FALSE,FALSE,"MDCR",0.128777618120677,1.62569099377312,0.053628119177411,31.4032018865845,0.941525607022995
