"analysisId","targetId","outcomeId","comparatorId","targetName","comparatorName","nestingId","nestingName","outcomeName","type","targetEffectSize","oldOutcomeId","trueEffectSize","trueEffectSizeFirstExposure","mdrrTarget","mdrrComparator","stratum","logRr","seLogRr","ci95Lb","ci95Ub","method","comparative","nesting","firstExposureOnly","database","calLogRr","calSeLogRr","calCi95Lb","calCi95Ub","calP"
1,708298,4,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.01906914496665,1.05732816341572,"Inflammatory Bowel Disease",1.62725947426684,0.0370499857200345,4.72973468175634,5.46903609110014,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",0.61214333921222,NA,0.869584045516808,NA,0.0487561091683311
1,708298,10291,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.49662219424791,1.36515548169586,1.01881097350404,1.05660762299054,"Inflammatory Bowel Disease",3.26947166848946,0.0179375539846008,25.3865094298809,27.2357875616711,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",1.79567826665642,NA,2.06487959614665,NA,2.21050355925695e-08
1,996416,4,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.07350269209899,1.13798563879624,"Inflammatory Bowel Disease",0.410416745912268,0.0509417479410681,1.36321469147672,1.66451474545172,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",-0.264832119005643,0.436190353512526,0.434595552857468,2.40246506976983,0.48271885199884
1,708298,10292,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,1.99121819869689,1.71859956941613,1.01856795278635,1.05592032660213,"Inflammatory Bowel Disease",3.81987297003727,0.0142909844592718,44.3362190408742,46.8908030060474,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",2.19235506340317,NA,2.70698004414322,NA,9.79254664597819e-12
1,996416,10246,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease, RR=1.5","Exposure control",1.5,4,1.50267564460246,1.40130077566968,1.07305499894837,1.13712077960625,"Inflammatory Bowel Disease",0.917569065439654,0.0432728834566444,2.29932644773391,2.72438528014632,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",0.100674363132209,0.571066163630133,0.583450316960462,5.4725366610358,0.681613055140906
1,708298,10293,965748,"Midazolam","Scopolamine",436962,"Insomnia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,3.99560838855005,3.19056411055988,1.01768529689861,1.05341554153527,"Inflammatory Bowel Disease",4.71363935665561,0.00986432897844033,109.321144638215,113.631106155117,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",2.83648422455197,NA,4.11662409259738,NA,1.60671706707293e-18
1,996416,10247,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease, RR=2","Exposure control",2,4,2.00738599179536,1.68707684405622,1.0726093973624,1.13625879344145,"Inflammatory Bowel Disease",1.24503706823511,0.0389426280524072,3.2171999355119,3.74778010573975,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",0.336679118732278,NA,0.702799743190026,NA,0.258405388534711
1,996416,10248,989482,"Finasteride","Dutasteride",37119607,"Benign prostatic hyperplasia","Inflammatory Bowel Disease, RR=4","Exposure control",4,4,4.0256496724497,3.0884113078917,1.07097656724574,1.13310122760096,"Inflammatory Bowel Disease",2.03163139129762,0.0318492394513364,7.16510338624326,8.11788145064011,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",0.903545282479794,NA,1.08440861749732,NA,0.0042092257345367
1,1102527,4,965748,"Meperidine","Scopolamine",36803580,"Delivery","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.03390410563149,1.05732816341572,"Inflammatory Bowel Disease",0.482461859718347,0.032950475370798,1.51793041527679,1.72721680222489,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",-0.212909485844629,0.449603681676571,0.45426130722275,2.64674707433251,0.585049820829917
1,1524674,4,1512480,"zoledronic acid","Ibandronate",36416551,"Osteoporosis","Inflammatory Bowel Disease","Exposure control",1,4,1,1,1.14070905559222,1.12904076420837,"Inflammatory Bowel Disease",-0.245024064243847,0.075729044352861,0.673380953122301,0.906112636094569,"SelfControlledCaseSeries",FALSE,FALSE,FALSE,"PanTher",-0.73720493406971,0.337891280751405,0.292763433151528,1.10089016169694,0.0337982210376964
