cohortDefinitionId,cohortName,records,persons,databaseId,analysisVariant
1,Linked mothers (pregnancy episode start),"2,528,482","2,146,726",truven_ccae,All pregnancies - 60d
2,Linked mothers (pregnancy episode end),"2,528,482","2,146,726",truven_ccae,All pregnancies - 60d
3,Linked infants,"2,528,482","2,528,482",truven_ccae,All pregnancies - 60d
4,All mothers (pregnancy episode start),"3,608,356","3,064,462",truven_ccae,All pregnancies - 60d
5,All mothers (pregnancy episode end),"3,608,356","3,064,462",truven_ccae,All pregnancies - 60d
6,All infants,"4,935,376","4,935,376",truven_ccae,All pregnancies - 60d
7,Not linked mothers (pregnancy episode start),"995,892","917,736",truven_ccae,All pregnancies - 60d
8,Not linked mothers (pregnancy episode end),"995,892","917,736",truven_ccae,All pregnancies - 60d
9,Not linked infants,"2,406,894","2,406,894",truven_ccae,All pregnancies - 60d
1,Linked mothers (pregnancy episode start),"2,146,726","2,146,726",truven_ccae,First pregnancies - 60d
2,Linked mothers (pregnancy episode end),"2,146,726","2,146,726",truven_ccae,First pregnancies - 60d
3,Linked infants,"2,146,726","2,146,726",truven_ccae,First pregnancies - 60d
4,All mothers (pregnancy episode start),"3,608,356","3,064,462",truven_ccae,First pregnancies - 60d
5,All mothers (pregnancy episode end),"3,608,356","3,064,462",truven_ccae,First pregnancies - 60d
6,All infants,"4,935,376","4,935,376",truven_ccae,First pregnancies - 60d
7,Not linked mothers (pregnancy episode start),"995,892","917,736",truven_ccae,First pregnancies - 60d
8,Not linked mothers (pregnancy episode end),"995,892","917,736",truven_ccae,First pregnancies - 60d
9,Not linked infants,"2,788,650","2,788,650",truven_ccae,First pregnancies - 60d
1,Linked mothers (pregnancy episode start),"2,567,501","2,174,144",truven_ccae,All pregnanices - 90d
2,Linked mothers (pregnancy episode end),"2,567,501","2,174,144",truven_ccae,All pregnanices - 90d
3,Linked infants,"2,567,501","2,567,499",truven_ccae,All pregnanices - 90d
4,All mothers (pregnancy episode start),"3,608,356","3,064,462",truven_ccae,All pregnanices - 90d
5,All mothers (pregnancy episode end),"3,608,356","3,064,462",truven_ccae,All pregnanices - 90d
6,All infants,"4,935,376","4,935,376",truven_ccae,All pregnanices - 90d
7,Not linked mothers (pregnancy episode start),"965,224","890,318",truven_ccae,All pregnanices - 90d
8,Not linked mothers (pregnancy episode end),"965,224","890,318",truven_ccae,All pregnanices - 90d
9,Not linked infants,"2,367,877","2,367,877",truven_ccae,All pregnanices - 90d
1,Linked mothers (pregnancy episode start),"1,589,010","1,301,623",optum_extended_dod,All pregnancies - 60d
2,Linked mothers (pregnancy episode end),"1,589,010","1,301,623",optum_extended_dod,All pregnancies - 60d
3,Linked infants,"1,589,010","1,589,010",optum_extended_dod,All pregnancies - 60d
4,All mothers (pregnancy episode start),"1,986,822","1,684,630",optum_extended_dod,All pregnancies - 60d
5,All mothers (pregnancy episode end),"1,986,822","1,684,630",optum_extended_dod,All pregnancies - 60d
6,All infants,"3,379,811","3,379,811",optum_extended_dod,All pregnancies - 60d
7,Not linked mothers (pregnancy episode start),"420,199","383,007",optum_extended_dod,All pregnancies - 60d
8,Not linked mothers (pregnancy episode end),"420,199","383,007",optum_extended_dod,All pregnancies - 60d
9,Not linked infants,"1,790,801","1,790,801",optum_extended_dod,All pregnancies - 60d
1,Linked mothers (pregnancy episode start),"1,301,623","1,301,623",optum_extended_dod,First pregnancies - 60d
2,Linked mothers (pregnancy episode end),"1,301,623","1,301,623",optum_extended_dod,First pregnancies - 60d
3,Linked infants,"1,301,623","1,301,623",optum_extended_dod,First pregnancies - 60d
4,All mothers (pregnancy episode start),"1,986,822","1,684,630",optum_extended_dod,First pregnancies - 60d
5,All mothers (pregnancy episode end),"1,986,822","1,684,630",optum_extended_dod,First pregnancies - 60d
6,All infants,"3,379,811","3,379,811",optum_extended_dod,First pregnancies - 60d
7,Not linked mothers (pregnancy episode start),"420,199","383,007",optum_extended_dod,First pregnancies - 60d
8,Not linked mothers (pregnancy episode end),"420,199","383,007",optum_extended_dod,First pregnancies - 60d
9,Not linked infants,"2,078,188","2,078,188",optum_extended_dod,First pregnancies - 60d
1,Linked mothers (pregnancy episode start),"1,589,010","1,301,623",optum_extended_dod,All pregnanices - 90d
2,Linked mothers (pregnancy episode end),"1,589,010","1,301,623",optum_extended_dod,All pregnanices - 90d
3,Linked infants,"1,589,010","1,589,010",optum_extended_dod,All pregnanices - 90d
4,All mothers (pregnancy episode start),"1,986,822","1,684,630",optum_extended_dod,All pregnanices - 90d
5,All mothers (pregnancy episode end),"1,986,822","1,684,630",optum_extended_dod,All pregnanices - 90d
6,All infants,"3,379,811","3,379,811",optum_extended_dod,All pregnanices - 90d
7,Not linked mothers (pregnancy episode start),"420,199","383,007",optum_extended_dod,All pregnanices - 90d
8,Not linked mothers (pregnancy episode end),"420,199","383,007",optum_extended_dod,All pregnanices - 90d
9,Not linked infants,"1,790,801","1,790,801",optum_extended_dod,All pregnanices - 90d
