"databaseId","analysisId","description","targetId","targetName","comparatorId","comparatorName","outcomeId","outcomeName","mdrrPass","asmdPass","equipoisePass"
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",282,"OA_AllTypes_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",282,"OA_AllTypes_Condition",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",282,"OA_AllTypes_Condition",1,1,0
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",327,"OA_Shoulder_Surgery",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",334,"Tendinopathy_Shoulder_Surgery",0,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",334,"Tendinopathy_Shoulder_Surgery",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",334,"Tendinopathy_Shoulder_Surgery",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",334,"Tendinopathy_Shoulder_Surgery",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",326,"OA_Knee_Surgery",0,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",327,"OA_Shoulder_Surgery",0,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",327,"OA_Shoulder_Surgery",1,1,0
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",284,"CTS_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",329,"Tendinopathy_AllTypes_Surgery",1,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",284,"CTS_Condition",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",287,"OA_Hand_Condition",0,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",329,"Tendinopathy_AllTypes_Surgery",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",287,"OA_Hand_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",323,"CTS_Surgery",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",329,"Tendinopathy_AllTypes_Surgery",0,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",305,"Tendinopathy_Knee_Condition",1,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",334,"Tendinopathy_Shoulder_Surgery",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",334,"Tendinopathy_Shoulder_Surgery",0,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",326,"OA_Knee_Surgery",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",299,"Tendinopathy_Elbow_Condition",0,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",299,"Tendinopathy_Elbow_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",299,"Tendinopathy_Elbow_Condition",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",299,"Tendinopathy_Elbow_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",293,"OA_Shoulder_Condition",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",289,"OA_Hip_Condition",1,1,0
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",299,"Tendinopathy_Elbow_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",299,"Tendinopathy_Elbow_Condition",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",299,"Tendinopathy_Elbow_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",291,"OA_Knee_Condition",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",289,"OA_Hip_Condition",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",329,"Tendinopathy_AllTypes_Surgery",0,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",327,"OA_Shoulder_Surgery",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",327,"OA_Shoulder_Surgery",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",327,"OA_Shoulder_Surgery",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",307,"Tendinopathy_Shoulder_Condition",1,1,0
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",332,"Tendinopathy_HandWrist_Surgery",1,1,0
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",299,"Tendinopathy_Elbow_Condition",1,1,0
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",299,"Tendinopathy_Elbow_Condition",0,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",291,"OA_Knee_Condition",1,1,0
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",295,"OA_Thumb_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",295,"OA_Thumb_Condition",1,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",332,"Tendinopathy_HandWrist_Surgery",1,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",289,"OA_Hip_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",289,"OA_Hip_Condition",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",305,"Tendinopathy_Knee_Condition",0,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",289,"OA_Hip_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",37,"AromataseInhibitor_Steroidal",289,"OA_Hip_Condition",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",289,"OA_Hip_Condition",1,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",289,"OA_Hip_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",344,"Tamoxifen_NoBisphos",346,"AromataseInhibitor_NoBisphos",289,"OA_Hip_Condition",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",282,"OA_AllTypes_Condition",1,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",282,"OA_AllTypes_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",282,"OA_AllTypes_Condition",1,1,1
"OPTUM_SES",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",347,"AromataseInhibitor",282,"OA_AllTypes_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",299,"Tendinopathy_Elbow_Condition",1,1,1
"IQVIA_GERMANY_DA",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",329,"Tendinopathy_AllTypes_Surgery",0,1,1
"IQVIA_OpenClaims",1,"2015_OnTreatmentMatched5:1",37,"AromataseInhibitor_Steroidal",36,"AromataseInhibitor_NonSteroidal",299,"Tendinopathy_Elbow_Condition",1,1,1
"OPTUM_PANTHER",1,"2015_OnTreatmentMatched5:1",102,"Tamoxifen",36,"AromataseInhibitor_NonSteroidal",329,"Tendinopathy_AllTypes_Surgery",1,1,1
