cohortId,targetId,targetName,strataId,strataName,cohortType
101,101,[PIONEER T1] Newly diagnosed PCa,0,All,Target
103,103,[PIONEER T2] PCa treated right away,0,All,Target
111,111,[PIONEER T3] PCa under conservative management,0,All,Target
117,117,[PIONEER T4] PCa treated after conservative management,0,All,Target
105,105,[PIONEER T3.1] PCa high/intermediate risk conservative management,0,All,Target
107,107,[PIONEER T3.2] PCa low risk grade conservative management and no intense monitoring,0,All,Target
109,109,[PIONEER T3.3] PCa low risk grade conservative management and intense monitoring,0,All,Target
113,113,[PIONEER T4.1] Delayed Curative Management,0,All,Target
115,115,[PIONEER T4.2] Delayed Palliative Management,0,All,Target
102,102,[PIONEER T1a] Newly diagnosed PCa broad,0,All,Target
104,104,[PIONEER T2a] PCa treated right away broad,0,All,Target
112,112,[PIONEER T3a] PCa under conservative management broad,0,All,Target
118,118,[PIONEER T4a] PCa treated after conservative management broad,0,All,Target
106,106,[PIONEER T3.1a] PCa high/intermediate risk conservative management broad,0,All,Target
108,108,[PIONEER T3.2a] PCa low risk grade conservative management and no intense monitoring broad,0,All,Target
110,110,[PIONEER T3.3a] PCa low risk grade conservative management and intense monitoring broad,0,All,Target
114,114,[PIONEER T4.1a] Delayed Curative Management broad,0,All,Target
116,116,[PIONEER T4.2a] Delayed Palliative Management broad,0,All,Target
119,119,[PIONEER T5] Symptom post conservative management,0,All,Target
120,120,[PIONEER T5a] Symptom post conservative management broad,0,All,Target
121,121,[PIONEER T3a sen1] new PCa conservative management sensitivity_1,0,All,Target
122,122,[PIONEER T3a sen2] new PCa conservative management sensitivity_2,0,All,Target
123,123,[PIONEER T3a sen3] new PCa conservative management sensitivity_3,0,All,Target
124,124,[PIONEER T3a sen4] new PCa conservative management sensitivity_4,0,All,Target
125,125,[PIONEER T3a sen5] new PCa conservative management sensitivity_5,0,All,Target
101003012,101,[PIONEER T1] Newly diagnosed PCa,301,without [PIONEER S1] EAU High Risk,TwoS
102003012,102,[PIONEER T1a] Newly diagnosed PCa broad,301,without [PIONEER S1] EAU High Risk,TwoS
103003012,103,[PIONEER T2] PCa treated right away,301,without [PIONEER S1] EAU High Risk,TwoS
104003012,104,[PIONEER T2a] PCa treated right away broad,301,without [PIONEER S1] EAU High Risk,TwoS
105003012,105,[PIONEER T3.1] PCa high/intermediate risk conservative management,301,without [PIONEER S1] EAU High Risk,TwoS
106003012,106,[PIONEER T3.1a] PCa high/intermediate risk conservative management broad,301,without [PIONEER S1] EAU High Risk,TwoS
107003012,107,[PIONEER T3.2] PCa low risk grade conservative management and no intense monitoring,301,without [PIONEER S1] EAU High Risk,TwoS
108003012,108,[PIONEER T3.2a] PCa low risk grade conservative management and no intense monitoring broad,301,without [PIONEER S1] EAU High Risk,TwoS
109003012,109,[PIONEER T3.3] PCa low risk grade conservative management and intense monitoring,301,without [PIONEER S1] EAU High Risk,TwoS
110003012,110,[PIONEER T3.3a] PCa low risk grade conservative management and intense monitoring broad,301,without [PIONEER S1] EAU High Risk,TwoS
111003012,111,[PIONEER T3] PCa under conservative management,301,without [PIONEER S1] EAU High Risk,TwoS
112003012,112,[PIONEER T3a] PCa under conservative management broad,301,without [PIONEER S1] EAU High Risk,TwoS
113003012,113,[PIONEER T4.1] Delayed Curative Management,301,without [PIONEER S1] EAU High Risk,TwoS
114003012,114,[PIONEER T4.1a] Delayed Curative Management broad,301,without [PIONEER S1] EAU High Risk,TwoS
115003012,115,[PIONEER T4.2] Delayed Palliative Management,301,without [PIONEER S1] EAU High Risk,TwoS
116003012,116,[PIONEER T4.2a] Delayed Palliative Management broad,301,without [PIONEER S1] EAU High Risk,TwoS
117003012,117,[PIONEER T4] PCa treated after conservative management,301,without [PIONEER S1] EAU High Risk,TwoS
118003012,118,[PIONEER T4a] PCa treated after conservative management broad,301,without [PIONEER S1] EAU High Risk,TwoS
119003012,119,[PIONEER T5] Symptom post conservative management,301,without [PIONEER S1] EAU High Risk,TwoS
120003012,120,[PIONEER T5a] Symptom post conservative management broad,301,without [PIONEER S1] EAU High Risk,TwoS
121003012,121,[PIONEER T3a sen1] new PCa conservative management sensitivity_1,301,without [PIONEER S1] EAU High Risk,TwoS
122003012,122,[PIONEER T3a sen2] new PCa conservative management sensitivity_2,301,without [PIONEER S1] EAU High Risk,TwoS
123003012,123,[PIONEER T3a sen3] new PCa conservative management sensitivity_3,301,without [PIONEER S1] EAU High Risk,TwoS
124003012,124,[PIONEER T3a sen4] new PCa conservative management sensitivity_4,301,without [PIONEER S1] EAU High Risk,TwoS
125003012,125,[PIONEER T3a sen5] new PCa conservative management sensitivity_5,301,without [PIONEER S1] EAU High Risk,TwoS
101003022,101,[PIONEER T1] Newly diagnosed PCa,302,without [PIONEER S2] EAU Low Risk,TwoS
102003022,102,[PIONEER T1a] Newly diagnosed PCa broad,302,without [PIONEER S2] EAU Low Risk,TwoS
103003022,103,[PIONEER T2] PCa treated right away,302,without [PIONEER S2] EAU Low Risk,TwoS
104003022,104,[PIONEER T2a] PCa treated right away broad,302,without [PIONEER S2] EAU Low Risk,TwoS
105003022,105,[PIONEER T3.1] PCa high/intermediate risk conservative management,302,without [PIONEER S2] EAU Low Risk,TwoS
106003022,106,[PIONEER T3.1a] PCa high/intermediate risk conservative management broad,302,without [PIONEER S2] EAU Low Risk,TwoS
107003022,107,[PIONEER T3.2] PCa low risk grade conservative management and no intense monitoring,302,without [PIONEER S2] EAU Low Risk,TwoS
108003022,108,[PIONEER T3.2a] PCa low risk grade conservative management and no intense monitoring broad,302,without [PIONEER S2] EAU Low Risk,TwoS
109003022,109,[PIONEER T3.3] PCa low risk grade conservative management and intense monitoring,302,without [PIONEER S2] EAU Low Risk,TwoS
110003022,110,[PIONEER T3.3a] PCa low risk grade conservative management and intense monitoring broad,302,without [PIONEER S2] EAU Low Risk,TwoS
111003022,111,[PIONEER T3] PCa under conservative management,302,without [PIONEER S2] EAU Low Risk,TwoS
112003022,112,[PIONEER T3a] PCa under conservative management broad,302,without [PIONEER S2] EAU Low Risk,TwoS
113003022,113,[PIONEER T4.1] Delayed Curative Management,302,without [PIONEER S2] EAU Low Risk,TwoS
114003022,114,[PIONEER T4.1a] Delayed Curative Management broad,302,without [PIONEER S2] EAU Low Risk,TwoS
115003022,115,[PIONEER T4.2] Delayed Palliative Management,302,without [PIONEER S2] EAU Low Risk,TwoS
116003022,116,[PIONEER T4.2a] Delayed Palliative Management broad,302,without [PIONEER S2] EAU Low Risk,TwoS
117003022,117,[PIONEER T4] PCa treated after conservative management,302,without [PIONEER S2] EAU Low Risk,TwoS
118003022,118,[PIONEER T4a] PCa treated after conservative management broad,302,without [PIONEER S2] EAU Low Risk,TwoS
119003022,119,[PIONEER T5] Symptom post conservative management,302,without [PIONEER S2] EAU Low Risk,TwoS
120003022,120,[PIONEER T5a] Symptom post conservative management broad,302,without [PIONEER S2] EAU Low Risk,TwoS
121003022,121,[PIONEER T3a sen1] new PCa conservative management sensitivity_1,302,without [PIONEER S2] EAU Low Risk,TwoS
122003022,122,[PIONEER T3a sen2] new PCa conservative management sensitivity_2,302,without [PIONEER S2] EAU Low Risk,TwoS
123003022,123,[PIONEER T3a sen3] new PCa conservative management sensitivity_3,302,without [PIONEER S2] EAU Low Risk,TwoS
124003022,124,[PIONEER T3a sen4] new PCa conservative management sensitivity_4,302,without [PIONEER S2] EAU Low Risk,TwoS
125003022,125,[PIONEER T3a sen5] new PCa conservative management sensitivity_5,302,without [PIONEER S2] EAU Low Risk,TwoS
101003032,101,[PIONEER T1] Newly diagnosed PCa,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
102003032,102,[PIONEER T1a] Newly diagnosed PCa broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
103003032,103,[PIONEER T2] PCa treated right away,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
104003032,104,[PIONEER T2a] PCa treated right away broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
105003032,105,[PIONEER T3.1] PCa high/intermediate risk conservative management,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
106003032,106,[PIONEER T3.1a] PCa high/intermediate risk conservative management broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
107003032,107,[PIONEER T3.2] PCa low risk grade conservative management and no intense monitoring,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
108003032,108,[PIONEER T3.2a] PCa low risk grade conservative management and no intense monitoring broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
109003032,109,[PIONEER T3.3] PCa low risk grade conservative management and intense monitoring,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
110003032,110,[PIONEER T3.3a] PCa low risk grade conservative management and intense monitoring broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
111003032,111,[PIONEER T3] PCa under conservative management,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
112003032,112,[PIONEER T3a] PCa under conservative management broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
113003032,113,[PIONEER T4.1] Delayed Curative Management,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
114003032,114,[PIONEER T4.1a] Delayed Curative Management broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
115003032,115,[PIONEER T4.2] Delayed Palliative Management,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
116003032,116,[PIONEER T4.2a] Delayed Palliative Management broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
117003032,117,[PIONEER T4] PCa treated after conservative management,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
118003032,118,[PIONEER T4a] PCa treated after conservative management broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
119003032,119,[PIONEER T5] Symptom post conservative management,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
120003032,120,[PIONEER T5a] Symptom post conservative management broad,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
121003032,121,[PIONEER T3a sen1] new PCa conservative management sensitivity_1,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
122003032,122,[PIONEER T3a sen2] new PCa conservative management sensitivity_2,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
123003032,123,[PIONEER T3a sen3] new PCa conservative management sensitivity_3,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
124003032,124,[PIONEER T3a sen4] new PCa conservative management sensitivity_4,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
125003032,125,[PIONEER T3a sen5] new PCa conservative management sensitivity_5,303,without [PIONEER S3] EAU Intermediate Risk,TwoS
101003042,101,[PIONEER T1] Newly diagnosed PCa,304,without [PIONEER S4] Metastatic PCa,TwoS
102003042,102,[PIONEER T1a] Newly diagnosed PCa broad,304,without [PIONEER S4] Metastatic PCa,TwoS
103003042,103,[PIONEER T2] PCa treated right away,304,without [PIONEER S4] Metastatic PCa,TwoS
104003042,104,[PIONEER T2a] PCa treated right away broad,304,without [PIONEER S4] Metastatic PCa,TwoS
105003042,105,[PIONEER T3.1] PCa high/intermediate risk conservative management,304,without [PIONEER S4] Metastatic PCa,TwoS
106003042,106,[PIONEER T3.1a] PCa high/intermediate risk conservative management broad,304,without [PIONEER S4] Metastatic PCa,TwoS
107003042,107,[PIONEER T3.2] PCa low risk grade conservative management and no intense monitoring,304,without [PIONEER S4] Metastatic PCa,TwoS
108003042,108,[PIONEER T3.2a] PCa low risk grade conservative management and no intense monitoring broad,304,without [PIONEER S4] Metastatic PCa,TwoS
109003042,109,[PIONEER T3.3] PCa low risk grade conservative management and intense monitoring,304,without [PIONEER S4] Metastatic PCa,TwoS
110003042,110,[PIONEER T3.3a] PCa low risk grade conservative management and intense monitoring broad,304,without [PIONEER S4] Metastatic PCa,TwoS
111003042,111,[PIONEER T3] PCa under conservative management,304,without [PIONEER S4] Metastatic PCa,TwoS
112003042,112,[PIONEER T3a] PCa under conservative management broad,304,without [PIONEER S4] Metastatic PCa,TwoS
113003042,113,[PIONEER T4.1] Delayed Curative Management,304,without [PIONEER S4] Metastatic PCa,TwoS
114003042,114,[PIONEER T4.1a] Delayed Curative Management broad,304,without [PIONEER S4] Metastatic PCa,TwoS
115003042,115,[PIONEER T4.2] Delayed Palliative Management,304,without [PIONEER S4] Metastatic PCa,TwoS
116003042,116,[PIONEER T4.2a] Delayed Palliative Management broad,304,without [PIONEER S4] Metastatic PCa,TwoS
117003042,117,[PIONEER T4] PCa treated after conservative management,304,without [PIONEER S4] Metastatic PCa,TwoS
118003042,118,[PIONEER T4a] PCa treated after conservative management broad,304,without [PIONEER S4] Metastatic PCa,TwoS
119003042,119,[PIONEER T5] Symptom post conservative management,304,without [PIONEER S4] Metastatic PCa,TwoS
120003042,120,[PIONEER T5a] Symptom post conservative management broad,304,without [PIONEER S4] Metastatic PCa,TwoS
121003042,121,[PIONEER T3a sen1] new PCa conservative management sensitivity_1,304,without [PIONEER S4] Metastatic PCa,TwoS
122003042,122,[PIONEER T3a sen2] new PCa conservative management sensitivity_2,304,without [PIONEER S4] Metastatic PCa,TwoS
123003042,123,[PIONEER T3a sen3] new PCa conservative management sensitivity_3,304,without [PIONEER S4] Metastatic PCa,TwoS
124003042,124,[PIONEER T3a sen4] new PCa conservative management sensitivity_4,304,without [PIONEER S4] Metastatic PCa,TwoS
125003042,125,[PIONEER T3a sen5] new PCa conservative management sensitivity_5,304,without [PIONEER S4] Metastatic PCa,TwoS
101003052,101,[PIONEER T1] Newly diagnosed PCa,305,without [PIONEER S5] Locally Advanced PCa,TwoS
102003052,102,[PIONEER T1a] Newly diagnosed PCa broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
103003052,103,[PIONEER T2] PCa treated right away,305,without [PIONEER S5] Locally Advanced PCa,TwoS
104003052,104,[PIONEER T2a] PCa treated right away broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
105003052,105,[PIONEER T3.1] PCa high/intermediate risk conservative management,305,without [PIONEER S5] Locally Advanced PCa,TwoS
106003052,106,[PIONEER T3.1a] PCa high/intermediate risk conservative management broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
107003052,107,[PIONEER T3.2] PCa low risk grade conservative management and no intense monitoring,305,without [PIONEER S5] Locally Advanced PCa,TwoS
108003052,108,[PIONEER T3.2a] PCa low risk grade conservative management and no intense monitoring broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
109003052,109,[PIONEER T3.3] PCa low risk grade conservative management and intense monitoring,305,without [PIONEER S5] Locally Advanced PCa,TwoS
110003052,110,[PIONEER T3.3a] PCa low risk grade conservative management and intense monitoring broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
111003052,111,[PIONEER T3] PCa under conservative management,305,without [PIONEER S5] Locally Advanced PCa,TwoS
112003052,112,[PIONEER T3a] PCa under conservative management broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
113003052,113,[PIONEER T4.1] Delayed Curative Management,305,without [PIONEER S5] Locally Advanced PCa,TwoS
114003052,114,[PIONEER T4.1a] Delayed Curative Management broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
115003052,115,[PIONEER T4.2] Delayed Palliative Management,305,without [PIONEER S5] Locally Advanced PCa,TwoS
116003052,116,[PIONEER T4.2a] Delayed Palliative Management broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
117003052,117,[PIONEER T4] PCa treated after conservative management,305,without [PIONEER S5] Locally Advanced PCa,TwoS
118003052,118,[PIONEER T4a] PCa treated after conservative management broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
119003052,119,[PIONEER T5] Symptom post conservative management,305,without [PIONEER S5] Locally Advanced PCa,TwoS
120003052,120,[PIONEER T5a] Symptom post conservative management broad,305,without [PIONEER S5] Locally Advanced PCa,TwoS
121003052,121,[PIONEER T3a sen1] new PCa conservative management sensitivity_1,305,without [PIONEER S5] Locally Advanced PCa,TwoS
122003052,122,[PIONEER T3a sen2] new PCa conservative management sensitivity_2,305,without [PIONEER S5] Locally Advanced PCa,TwoS
123003052,123,[PIONEER T3a sen3] new PCa conservative management sensitivity_3,305,without [PIONEER S5] Locally Advanced PCa,TwoS
124003052,124,[PIONEER T3a sen4] new PCa conservative management sensitivity_4,305,without [PIONEER S5] Locally Advanced PCa,TwoS
125003052,125,[PIONEER T3a sen5] new PCa conservative management sensitivity_5,305,without [PIONEER S5] Locally Advanced PCa,TwoS
101003062,101,[PIONEER T1] Newly diagnosed PCa,306,without [PIONEER S6] localized PCa,TwoS
102003062,102,[PIONEER T1a] Newly diagnosed PCa broad,306,without [PIONEER S6] localized PCa,TwoS
103003062,103,[PIONEER T2] PCa treated right away,306,without [PIONEER S6] localized PCa,TwoS
104003062,104,[PIONEER T2a] PCa treated right away broad,306,without [PIONEER S6] localized PCa,TwoS
105003062,105,[PIONEER T3.1] PCa high/intermediate risk conservative management,306,without [PIONEER S6] localized PCa,TwoS
106003062,106,[PIONEER T3.1a] PCa high/intermediate risk conservative management broad,306,without [PIONEER S6] localized PCa,TwoS
107003062,107,[PIONEER T3.2] PCa low risk grade conservative management and no intense monitoring,306,without [PIONEER S6] localized PCa,TwoS
108003062,108,[PIONEER T3.2a] PCa low risk grade conservative management and no intense monitoring broad,306,without [PIONEER S6] localized PCa,TwoS
109003062,109,[PIONEER T3.3] PCa low risk grade conservative management and intense monitoring,306,without [PIONEER S6] localized PCa,TwoS
110003062,110,[PIONEER T3.3a] PCa low risk grade conservative management and intense monitoring broad,306,without [PIONEER S6] localized PCa,TwoS
111003062,111,[PIONEER T3] PCa under conservative management,306,without [PIONEER S6] localized PCa,TwoS
112003062,112,[PIONEER T3a] PCa under conservative management broad,306,without [PIONEER S6] localized PCa,TwoS
113003062,113,[PIONEER T4.1] Delayed Curative Management,306,without [PIONEER S6] localized PCa,TwoS
