"outcomeId","cohortId","modelSettingsId","analysisId","devDatabase","populationSettingId","modelSettingId","covariateSettingId","modelSettingName","addExposureDaysToStart","riskWindowStart","addExposureDaysToEnd","riskWindowEnd","plpDataFolder","studyPopFile","plpResultFolder","cohortName","outcomeName"
10082,10631,1,1001,"ccae",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/ccae/PlpData_L1_T10631","T:/atlasResults/finalWooResults/ccae/StudyPop_L1_T10631_O10082.rds","T:/atlasResults/finalWooResults/ccae/Analysis_1","[WoO 2019] T1 - first mammography in 2 years and no prior neoplasms","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10845,1,2001,"ccae",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/ccae/PlpData_L1_T10845","T:/atlasResults/finalWooResults/ccae/StudyPop_L1_T10845_O10082.rds","T:/atlasResults/finalWooResults/ccae/Analysis_2","[WoO 2019] T2 - first mammography in 2 years and no prior breast cancer","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10631,1,1002,"optum",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/optum/PlpData_L1_T10631","T:/atlasResults/finalWooResults/optum/StudyPop_L1_T10631_O10082.rds","T:/atlasResults/finalWooResults/optum/Analysis_1","[WoO 2019] T1 - first mammography in 2 years and no prior neoplasms","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10845,1,2002,"optum",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/optum/PlpData_L1_T10845","T:/atlasResults/finalWooResults/optum/StudyPop_L1_T10845_O10082.rds","T:/atlasResults/finalWooResults/optum/Analysis_2","[WoO 2019] T2 - first mammography in 2 years and no prior breast cancer","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10631,1,1003,"mdcd",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/mdcd/PlpData_L1_T10631","T:/atlasResults/finalWooResults/mdcd/StudyPop_L1_T10631_O10082.rds","T:/atlasResults/finalWooResults/mdcd/Analysis_1","[WoO 2019] T1 - first mammography in 2 years and no prior neoplasms","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10845,1,2003,"mdcd",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/mdcd/PlpData_L1_T10845","T:/atlasResults/finalWooResults/mdcd/StudyPop_L1_T10845_O10082.rds","T:/atlasResults/finalWooResults/mdcd/Analysis_2","[WoO 2019] T2 - first mammography in 2 years and no prior breast cancer","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10631,1,1004,"panther",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/PlpData_L1_T10631","T:/atlasResults/finalWooResults/StudyPop_L1_T10631_O10082.rds","T:/atlasResults/finalWooResults/Analysis_1","[WoO 2019] T1 - first mammography in 2 years and no prior neoplasms","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10845,1,2004,"panther",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/PlpData_L1_T10845","T:/atlasResults/finalWooResults/StudyPop_L1_T10845_O10082.rds","T:/atlasResults/finalWooResults/Analysis_2","[WoO 2019] T2 - first mammography in 2 years and no prior breast cancer","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10631,1,1005,"mdcr",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/mdcr/PlpData_L1_T10631","T:/atlasResults/finalWooResults/mdcr/StudyPop_L1_T10631_O10082.rds","T:/atlasResults/finalWooResults/mdcr/Analysis_1","[WoO 2019] T1 - first mammography in 2 years and no prior neoplasms","[WoO 2019] O: Breast cancer (2 occurrences)"
10082,10845,1,2005,"mdcr",1,1,1,"Lasso Logistic Regression",0,1,0,1095,"T:/atlasResults/finalWooResults/mdcr/PlpData_L1_T10845","T:/atlasResults/finalWooResults/mdcr/StudyPop_L1_T10845_O10082.rds","T:/atlasResults/finalWooResults/mdcr/Analysis_2","[WoO 2019] T2 - first mammography in 2 years and no prior breast cancer","[WoO 2019] O: Breast cancer (2 occurrences)"
